"02113712 n02113712_612 200 150 miniature_poodle,15,1,183,136"
# 1251
026212407 n028217757_6029
"02107312 n02107312_7703 500 333 miniature_pinscher,1,21,314,332 miniature_pinscher,232,35,425,332"
023272177 n025358559_1062
02829211 n0280139_3445
"02097047 n02097047_2178 500 375 miniature_schnauzer,234,97,418,268 miniature_schnauzer,143,92,313,251"
028551936 n026808760_5690
"02107312 n02107312_1590 375 500 miniature_pinscher,18,45,296,498"
"02112137 n02112137_7991 334 500 chow,21,73,332,456"
"02088094 n02088094_5080 354 500 Afghan_hound,31,57,346,493"
"02107574 n02107574_618 500 333 Greater_Swiss_Mountain_dog,0,0,499,332"
021461813 n022234473_3134
"02097298 n02097298_8911 465 500 Scotch_terrier,45,36,396,383"
"02109047 n02109047_33588 520 390 Great_Dane,81,10,505,357 Great_Dane,74,67,317,255"
"02106030 n02106030_17669 500 472 collie,79,150,407,416"
"02085782 n02085782_2874 373 373 Japanese_spaniel,67,54,283,329"
022355126 n026111782_2840
"02109525 n02109525_10297 386 500 Saint_Bernard,11,167,324,435"
"02097658 n02097658_4363 375 500 silky_terrier,1,136,373,456"
027491933 n028277836_2920
"02104029 n02104029_992 500 375 kuvasz,26,25,479,327"
"02108089 n02108089_9076 500 374 boxer,9,0,302,373"
"02104029 n02104029_3207 500 375 kuvasz,180,146,375,287"
02520976 n026450579_3925
"02096294 n02096294_1299 500 375 Australian_terrier,0,15,312,374"
"02099849 n02099849_2836 359 500 Chesapeake_Bay_retriever,0,6,347,498"
"02115913 n02115913_5418 180 135 dhole,97,23,179,118 dhole,1,36,102,117"
024865608 n025191426_9998
"02107908 n02107908_4964 333 500 Appenzeller,31,103,331,498"
"02099601 n02099601_5188 500 331 golden_retriever,144,78,303,296"
025352869 n028539460_4089
"02096177 n02096177_1171 500 460 cairn,155,91,385,355"
"02115641 n02115641_2871 500 333 dingo,70,54,344,268"
"02107142 n02107142_15810 390 480 Doberman,2,116,388,457"
"02090721 n02090721_1534 375 500 Irish_wolfhound,17,68,373,388 Irish_wolfhound,1,301,373,496"
"02101388 n02101388_2889 500 331 Brittany_spaniel,91,0,426,286"
"02093256 n02093256_9796 350 280 Staffordshire_bullterrier,8,9,349,279"
# 1402
"02098413 n02098413_2199 375 500 Lhasa,11,45,280,492"
02404795 n022375771_2476
"02097298 n02097298_4162 500 375 Scotch_terrier,44,10,372,360"
028947785 n025052447_7483
"02088364 n02088364_17935 333 500 beagle,81,51,255,380"
"02104029 n02104029_4466 252 184 kuvasz,36,16,209,161"
"02104029 n02104029_409 200 191 kuvasz,14,26,193,174"
"02096177 n02096177_8975 500 327 cairn,94,44,352,244"
"02096294 n02096294_2411 500 354 Australian_terrier,48,0,494,353"
022043573 n025034351_3500
"02091244 n02091244_746 500 375 Ibizan_hound,97,125,281,296"
"02098413 n02098413_15855 500 436 Lhasa,72,46,470,431"
"02106030 n02106030_17662 426 500 collie,71,48,298,400"
"02106030 n02106030_4592 333 500 collie,71,33,276,420"
"02102480 n02102480_308 250 340 Sussex_spaniel,33,33,248,339"
"02092339 n02092339_1856 300 354 Weimaraner,35,7,255,348"
029891503 n022941814_3351
# 163
"02109525 n02109525_11285 500 392 Saint_Bernard,21,1,499,391"
"02095570 n02095570_3323 500 375 Lakeland_terrier,78,39,402,301"
"02097209 n02097209_2194 550 450 standard_schnauzer,123,51,437,399"
"%s %s 333 500 French_bulldog,45,118,331,460"
"02109961 n02109961_8835 331 500 Eskimo_dog,30,46,285,465"
"02098413 n02098413_8214 500 333 Lhasa,145,52,457,332"
027007762 n021925388_8729
"02100735 n02100735_5207 500 333 English_setter,0,5,498,328"
"02100583 n02100583_13292 500 331 vizsla,120,3,481,269"
"02098286 n02098286_6237 500 375 West_Highland_white_terrier,0,8,381,374"
025985594 n029510895_3789
024862088 n029436859_7995
026616945 n027354670_9021
028871962 n021225822_2244
027670211 n022665761_8576
"02088094 n02088094_907 355 500 Afghan_hound,23,16,352,498"
025819947 n022617056_2985
"02100583 n02100583_10844 464 500 vizsla,86,91,345,242"
023095104 n022697592_7094
"02097474 n02097474_3147 500 375 Tibetan_terrier,81,0,499,374"
028609523 n02145475_6676
"02085936 n02085936_7537 326 500 Maltese_dog,37,139,324,498"
"02095889 n02095889_2319 270 211 Sealyham_terrier,30,14,220,196"
"02091244 n02091244_2512 300 288 Ibizan_hound,22,17,290,286"
"02094433 n02094433_2229 500 375 Yorkshire_terrier,8,86,306,347"
"02097474 n02097474_2554 500 375 Tibetan_terrier,99,18,458,367"
"02113799 n02113799_4557 406 427 standard_poodle,5,11,389,418"
024854103 n024695193_9678
"02088364 n02088364_2566 500 375 beagle,67,22,497,297"
# 277
029753982 n027669481_3445
024657854 n023074676_5729
"02094433 n02094433_3010 323 350 Yorkshire_terrier,27,15,309,348"
"02097047 n02097047_6203 500 375 miniature_schnauzer,179,142,312,276"
"02108422 n02108422_170 500 375 bull_mastiff,3,160,352,306 bull_mastiff,331,182,465,248"
"02099601 n02099601_6814 333 500 golden_retriever,12,23,331,498"
"02102318 n02102318_10162 500 334 cocker_spaniel,78,40,499,333"
"02105505 n02105505_2155 375 500 komondor,58,268,262,498"
"02105056 n02105056_7291 500 375 groenendael,155,167,300,310"
029523287 n022380781_6079
"02102040 n02102040_3462 500 375 English_springer,0,59,493,358"
"02091032 n02091032_9491 500 375 Italian_greyhound,150,61,341,374"
"02088094 n02088094_3982 466 500 Afghan_hound,0,11,464,498"
023401959 n026938574_1910
"02108551 n02108551_6100 500 375 Tibetan_mastiff,1,135,473,363"
"02099429 n02099429_2934 400 306 curly-coated_retriever,25,7,399,305"
"%s %s 375 500 Shetland_sheepdog,0,120,321,496"
"02107312 n02107312_4692 500 400 miniature_pinscher,43,0,339,399"
"02086240 n02086240_7266 374 500 Shih-Tzu,1,62,281,445"
"02105641 n02105641_7650 428 500 Old_English_sheepdog,136,27,397,458"
"02099849 n02099849_338 500 375 Chesapeake_Bay_retriever,130,85,385,374"
"02102318 n02102318_14756 500 375 cocker_spaniel,67,140,378,374"
022018108 n029688683_5888
026479495 n028014634_4627
023716530 n025377081_9990
028957606 n029290316_8777
"%s %s 500 355 French_bulldog,1,1,475,324"
024890524 n022723551_1035
024802916 n023684076_2664
# 1021
"02110958 n02110958_15538 500 395 pug,134,12,466,361"
022467428 n024599506_6532
"02099712 n02099712_2115 500 403 Labrador_retriever,58,92,391,318"
"02102480 n02102480_276 210 210 Sussex_spaniel,32,11,177,199"
024191007 n025322898_1529
"02098286 n02098286_526 500 405 West_Highland_white_terrier,102,153,229,261"
"02094433 n02094433_5356 500 375 Yorkshire_terrier,104,1,398,369"
"02095889 n02095889_4762 267 200 Sealyham_terrier,0,30,183,181 Sealyham_terrier,147,52,265,179"
"02108551 n02108551_832 450 338 Tibetan_mastiff,1,3,449,329"
021612604 n029521007_1653
"02092339 n02092339_3222 500 375 Weimaraner,200,66,289,305"
"02093647 n02093647_722 280 189 Bedlington_terrier,19,23,242,166"
"02099712 n02099712_3301 500 375 Labrador_retriever,69,66,499,285"
027989105 n022900577_2744
024667183 n023591727_5334
024896150 n023446445_9102
029678016 n028650382_8984
"02088466 n02088466_7229 375 500 bloodhound,3,82,373,478"
"02096294 n02096294_1803 229 217 Australian_terrier,16,1,223,204"
"02093859 n02093859_3258 500 286 Kerry_blue_terrier,100,35,390,285"
"02107312 n02107312_2706 252 291 miniature_pinscher,67,23,214,290"
023017974 n02384591_2720
026126640 n023569095_7266
027326411 n022767847_8551
"02094258 n02094258_2506 500 375 Norwich_terrier,198,250,316,339"
"02088632 n02088632_2709 500 429 bluetick,156,110,475,421"
"02107312 n02107312_7528 375 500 miniature_pinscher,11,45,233,473"
"%s %s 160 180 Shetland_sheepdog,3,14,154,179"
"02110627 n02110627_2416 477 500 affenpinscher,21,68,434,498"
"02108422 n02108422_311 500 375 bull_mastiff,79,57,369,374"
029804712 n024135676_1510
"02088632 n02088632_3667 375 500 bluetick,43,147,373,498"
# 1390
023144839 n028627334_7794
"02091467 n02091467_2849 500 375 Norwegian_elkhound,0,1,499,374"
"02091467 n02091467_473 500 281 Norwegian_elkhound,201,57,408,280"
"02102973 n02102973_5052 300 300 Irish_water_spaniel,1,121,188,299 Irish_water_spaniel,98,8,279,288"
"02095570 n02095570_434 500 375 Lakeland_terrier,183,134,354,245 Lakeland_terrier,391,157,490,224"
"02104365 n02104365_6625 500 375 schipperke,129,59,344,248"
"02086646 n02086646_1930 424 270 Blenheim_spaniel,0,63,419,191"
"02112350 n02112350_8454 500 375 keeshond,75,30,386,372"
"02093256 n02093256_6992 500 374 Staffordshire_bullterrier,5,35,456,335"
"02116738 n02116738_8945 320 400 African_hunting_dog,0,27,284,399"
"02100583 n02100583_9956 454 500 vizsla,112,47,262,352 vizsla,223,2,345,125"
022312273 n023559176_5483
026065040 n025556470_4133
"02093859 n02093859_1645 500 375 Kerry_blue_terrier,0,72,373,374"
026691809 n022266926_4970
025407840 n021513570_6470
"02096437 n02096437_2291 500 348 Dandie_Dinmont,202,53,374,340 Dandie_Dinmont,46,8,209,216"
023629339 n023930599_7898
"02111500 n02111500_4687 500 281 Great_Pyrenees,159,81,404,223"
"02111129 n02111129_489 333 500 Leonberg,90,287,199,420 Leonberg,282,295,331,407"
"02099712 n02099712_5679 500 333 Labrador_retriever,216,19,496,297"
"02097130 n02097130_5576 375 500 giant_schnauzer,103,125,278,498"
"02092339 n02092339_1700 333 500 Weimaraner,27,55,297,498"
"02091032 n02091032_5526 500 375 Italian_greyhound,101,210,355,374 Italian_greyhound,184,153,348,373"
"02105162 n02105162_9821 500 333 malinois,99,17,334,332"
026686107 n021973185_3018
023369118 n026335817_517
02188302 n024392280_6996
"02099712 n02099712_4965 500 334 Labrador_retriever,0,0,434,309"
"02112018 n02112018_3133 334 500 Pomeranian,28,2,332,498"
02312883 n026444239_1112
"02093991 n02093991_3095 500 333 Irish_terrier,0,40,390,332"
026184797 n022129869_5273
"02110806 n02110806_6554 500 412 basenji,93,93,348,284"
026078377 n023339529_3740
"02098286 n02098286_1637 500 334 West_Highland_white_terrier,122,128,262,316"
023198697 n025854856_4490
"02095889 n02095889_1175 219 160 Sealyham_terrier,15,11,204,137"
027093446 n022632264_4432
"02091467 n02091467_1631 500 333 Norwegian_elkhound,94,0,499,332"
"02086079 n02086079_186 200 200 Pekinese,2,1,196,199"
"02108000 n02108000_2028 250 180 EntleBucher,7,8,224,175"
"02091831 n02091831_2315 500 335 Saluki,219,184,412,313"
026983270 n02989025_450
"02100877 n02100877_131 500 375 Irish_setter,0,46,499,374"
"02091032 n02091032_7200 375 500 Italian_greyhound,108,137,373,498"
024533912 n025401259_1568
"02097298 n02097298_231 500 375 Scotch_terrier,62,31,449,374"
02303812 n022237875_4054
029810978 n029897839_5830
"02108551 n02108551_2326 864 1152 Tibetan_mastiff,172,106,691,1002"
# 487
# 1243
# 1188
"02101556 n02101556_7574 457 500 clumber,38,35,421,462"
"02099601 n02099601_8005 500 375 golden_retriever,59,32,496,364"
"02098105 n02098105_3163 333 500 soft-coated_wheaten_terrier,0,72,291,385"
"02091831 n02091831_2858 369 500 Saluki,26,33,367,391"
02786991 n024589679_5566
"02116738 n02116738_6092 500 333 African_hunting_dog,138,10,348,332"
02871884 n026553682_639
"02092002 n02092002_5222 500 375 Scottish_deerhound,20,9,362,373"
"02095570 n02095570_2177 500 375 Lakeland_terrier,0,51,466,374"
"02091467 n02091467_6372 500 375 Norwegian_elkhound,203,36,499,374"
022783884 n028873051_9763
"02110627 n02110627_12819 170 200 affenpinscher,0,1,169,199"
"02108551 n02108551_1121 225 298 Tibetan_mastiff,5,10,217,286"
"02102973 n02102973_3326 448 317 Irish_water_spaniel,9,3,443,308"
02740496 n02195894_52
# 172
"02097047 n02097047_35 369 500 miniature_schnauzer,65,28,353,498"
"02106550 n02106550_5928 500 500 Rottweiler,43,17,436,497"
"02109525 n02109525_16346 475 500 Saint_Bernard,1,0,473,498"
"%s %s 191 284 French_bulldog,18,13,168,252"
# 622
026954296 n021555063_1120
"02102318 n02102318_11481 500 333 cocker_spaniel,0,8,405,332"
"02097130 n02097130_1999 500 375 giant_schnauzer,48,21,268,296"
"02087046 n02087046_5499 500 375 toy_terrier,201,0,437,374"
"02102318 n02102318_7010 252 391 cocker_spaniel,0,39,244,363"
"02088466 n02088466_9242 400 500 bloodhound,0,48,372,498"
022036636 n026345024_2231
027270601 n027287567_3852
"02097298 n02097298_3516 500 375 Scotch_terrier,7,22,420,374"
"02093647 n02093647_2068 150 252 Bedlington_terrier,6,9,137,241"
"02112137 n02112137_9074 500 333 chow,154,94,336,267"
024532043 n028030078_3988
021399066 n025085784_1828
02286085 n02703002_9491
"02105641 n02105641_6735 500 333 Old_English_sheepdog,3,0,499,310"
"02108422 n02108422_5595 500 338 bull_mastiff,120,18,379,236"
023845135 n026566532_2071
"02110063 n02110063_609 216 308 malamute,17,21,212,307"
025680801 n029054818_5635
"02091467 n02091467_2723 500 375 Norwegian_elkhound,101,0,479,374"
"02090721 n02090721_3500 500 346 Irish_wolfhound,84,74,363,234"
021476510 n027171427_7666
022185868 n029618944_3780
028279867 n027111593_9999
"02107908 n02107908_7316 373 500 Appenzeller,0,60,306,381"
02465927 n026476217_782
"02116738 n02116738_7601 500 333 African_hunting_dog,79,69,420,258"
"02107683 n02107683_1417 500 335 Bernese_mountain_dog,170,24,375,324 Bernese_mountain_dog,42,112,191,285"
027024834 n021422529_9001
"02099849 n02099849_2 300 233 Chesapeake_Bay_retriever,12,22,278,228"
029367660 n023695412_1079
# 659
029931981 n028735397_2373
029175937 n029974088_2975
"02093647 n02093647_1101 500 344 Bedlington_terrier,31,59,499,343"
028098074 n029634302_50
023863475 n023656315_802
"02086910 n02086910_9084 500 331 papillon,114,18,342,297"
"02107908 n02107908_3613 375 500 Appenzeller,0,183,373,477"
025514228 n021995946_4363
021481228 n021171424_8142
"02107574 n02107574_579 500 333 Greater_Swiss_Mountain_dog,110,0,499,331"
"02097658 n02097658_8053 200 186 silky_terrier,30,1,180,176"
"02113624 n02113624_1008 403 536 toy_poodle,24,32,385,513"
# 280
"02108089 n02108089_14719 500 375 boxer,0,40,499,345"
"02111889 n02111889_91 500 375 Samoyed,70,24,464,363"
"02100735 n02100735_9979 500 375 English_setter,117,44,385,374"
022883753 n024053375_8371
"02110958 n02110958_12934 500 375 pug,26,70,302,374"
"02098286 n02098286_6516 375 500 West_Highland_white_terrier,113,102,306,372"
"02095314 n02095314_2354 400 325 wire-haired_fox_terrier,53,21,389,317"
"02091134 n02091134_12017 500 375 whippet,0,18,268,265"
"02107908 n02107908_2085 570 428 Appenzeller,246,168,353,370"
021424865 n024224741_2542
"02097209 n02097209_3874 394 235 standard_schnauzer,25,26,289,163"
028423325 n02354755_2970
"02107142 n02107142_9362 190 232 Doberman,0,0,188,229"
"02092002 n02092002_6827 640 480 Scottish_deerhound,87,33,527,408"
023669085 n025494074_6571
# 1475
027733854 n029446217_679
"02096437 n02096437_967 500 333 Dandie_Dinmont,92,0,498,331"
"02095314 n02095314_2472 300 225 wire-haired_fox_terrier,98,1,299,223"
"02108422 n02108422_4250 375 500 bull_mastiff,73,106,313,498"
# 846
024978814 n029362975_9048
"02101006 n02101006_3985 500 331 Gordon_setter,62,43,241,329 Gordon_setter,224,106,425,330"
"02113978 n02113978_206 200 133 Mexican_hairless,55,4,199,132"
"02105056 n02105056_4205 500 333 groenendael,289,100,443,241"
"02110063 n02110063_210 468 513 malamute,203,99,466,425"
"02110185 n02110185_3406 438 500 Siberian_husky,136,40,381,498"
"02091831 n02091831_5384 500 334 Saluki,147,138,453,246"
025958960 n028568838_6798
"02091134 n02091134_19204 500 375 whippet,33,93,137,356 whippet,107,132,271,344"
027352661 n023021342_7080
"02113799 n02113799_2932 500 378 standard_poodle,268,104,415,363 standard_poodle,14,151,275,377"
"02095889 n02095889_4198 368 255 Sealyham_terrier,3,37,187,220 Sealyham_terrier,154,48,322,205"
"02096585 n02096585_210 375 500 Boston_bull,0,6,355,498"
025415335 n025073084_6151
025515849 n023474593_3036
"02088094 n02088094_4049 200 207 Afghan_hound,1,80,128,200"
"02089078 n02089078_3038 220 275 black-and-tan_coonhound,20,22,210,269"
028170561 n023928451_4432
024096805 n029481496_9862
021017714 n028816294_3223
"02096051 n02096051_4196 500 375 Airedale,56,65,434,322"
"02085782 n02085782_3121 290 321 Japanese_spaniel,13,12,279,302"
"02090721 n02090721_1742 300 252 Irish_wolfhound,8,7,283,239"
"02088094 n02088094_294 489 500 Afghan_hound,43,112,196,483"
"02091032 n02091032_5435 400 267 Italian_greyhound,138,23,327,266"
"02113023 n02113023_6655 500 375 Pembroke,73,121,391,289"
02778355 n025675698_4050
"02101388 n02101388_4333 108 120 Brittany_spaniel,4,0,107,116"
021062762 n025078779_3887
"02107574 n02107574_743 333 500 Greater_Swiss_Mountain_dog,2,92,306,497"
# 410
02816400 n022986909_8759
"02109047 n02109047_27409 625 352 Great_Dane,101,37,583,333"
022374233 n02647431_6044
"02097130 n02097130_1761 375 500 giant_schnauzer,86,77,353,463"
02486878 n029013661_5141
021910542 n028904968_8802
"02094433 n02094433_6338 500 298 Yorkshire_terrier,318,13,499,213"
# 63
024258214 n024151121_3437
"02108089 n02108089_13738 334 500 boxer,27,100,283,493"
"02112018 n02112018_6110 500 374 Pomeranian,232,129,396,373"
"02090379 n02090379_980 250 288 redbone,50,1,249,285"
026267832 n025421535_9386
022520155 n021991629_8361
"02112018 n02112018_1380 375 500 Pomeranian,0,220,368,498"
"02088238 n02088238_10142 500 375 basset,128,91,354,289"
"02096437 n02096437_1006 250 312 Dandie_Dinmont,10,16,248,301"
023427190 n02930317_9178
028574257 n02933590_4333
"02113978 n02113978_3921 450 305 Mexican_hairless,72,38,376,285"
"02107574 n02107574_2527 375 500 Greater_Swiss_Mountain_dog,205,133,355,478 Greater_Swiss_Mountain_dog,71,147,222,467 Greater_Swiss_Mountain_dog,1,161,87,305 Greater_Swiss_Mountain_dog,341,95,373,205"
"02086240 n02086240_12057 500 438 Shih-Tzu,26,25,455,427"
"02088466 n02088466_5131 233 350 bloodhound,41,75,221,349"
"02097474 n02097474_4875 500 375 Tibetan_terrier,111,33,497,373"
"02107574 n02107574_2954 500 375 Greater_Swiss_Mountain_dog,171,120,381,265"
"02096177 n02096177_11706 375 500 cairn,145,260,353,498"
022171039 n025934845_9283
"02086240 n02086240_6882 500 375 Shih-Tzu,57,1,343,354"
"02093859 n02093859_3113 240 234 Kerry_blue_terrier,45,70,207,200"
"02091467 n02091467_7416 333 500 Norwegian_elkhound,105,103,331,498"
"02093754 n02093754_6483 210 210 Border_terrier,6,6,201,187"
"02110185 n02110185_10844 450 348 Siberian_husky,39,41,393,321 Siberian_husky,0,0,74,86"
"02106166 n02106166_1059 500 376 Border_collie,137,26,373,374"
027406096 n02784600_7070
023992056 n02258386_8769
"02113624 n02113624_3103 330 360 toy_poodle,35,14,307,359"
"02105056 n02105056_3599 480 413 groenendael,37,1,443,411"
"02111129 n02111129_2977 289 420 Leonberg,55,64,210,347"
027016654 n021148617_1337
"02094258 n02094258_1150 350 297 Norwich_terrier,22,9,323,282"
"02102177 n02102177_803 500 375 Welsh_springer_spaniel,167,87,387,293"
"02107574 n02107574_344 500 333 Greater_Swiss_Mountain_dog,61,71,499,307"
"02093428 n02093428_8582 500 375 American_Staffordshire_terrier,0,39,411,374"
026594507 n024324165_9944
"02099601 n02099601_3494 500 375 golden_retriever,0,26,456,354"
"02108422 n02108422_1939 500 375 bull_mastiff,34,82,362,326"
"02093991 n02093991_4441 500 331 Irish_terrier,206,27,498,330 Irish_terrier,31,74,388,329"
"%s %s 209 150 English_foxhound,38,11,179,144"
026573377 n021115335_1488
022567240 n029069857_6877
02198170 n028961257_4747
"02101556 n02101556_2517 334 500 clumber,40,65,332,472"
"02090622 n02090622_6080 500 338 borzoi,279,192,416,321"
023947986 n022389502_7671
"02089867 n02089867_3044 383 336 Walker_hound,21,16,373,327"
02206349 n021055115_2889
023107323 n022120612_9056
"02087394 n02087394_8266 300 227 Rhodesian_ridgeback,105,21,217,226"
"02111889 n02111889_853 500 375 Samoyed,256,126,419,328"
"02091831 n02091831_4487 500 334 Saluki,40,75,499,333"
"02108000 n02108000_3497 300 237 EntleBucher,17,7,284,225"
"02104365 n02104365_6930 408 500 schipperke,73,10,405,498"
"02094114 n02094114_3187 500 368 Norfolk_terrier,7,3,485,367"
"02098413 n02098413_387 500 375 Lhasa,1,0,499,374"
027061316 n023256021_6899
"02108551 n02108551_12438 500 333 Tibetan_mastiff,107,134,281,295"
029989601 n022918933_2680
028114296 n025657153_7099
"02106166 n02106166_2345 500 323 Border_collie,102,52,499,275"
# 552
022777690 n023847257_34
"02105251 n02105251_3265 300 239 briard,17,37,224,207"
"02090721 n02090721_2836 500 333 Irish_wolfhound,154,53,425,332"
"02092339 n02092339_367 500 375 Weimaraner,120,114,257,288"
"02113023 n02113023_5881 334 500 Pembroke,1,97,203,442"
021348432 n022851354_2836
02801869 n021790174_9459
026702372 n026808768_451
"02086910 n02086910_2168 250 250 papillon,1,8,230,245"
"02088364 n02088364_13214 500 451 beagle,13,3,459,448"
"02094258 n02094258_1805 500 373 Norwich_terrier,214,19,307,172 Norwich_terrier,109,77,249,358"
# 380
"02106382 n02106382_442 300 322 Bouvier_des_Flandres,27,4,275,297"
"02091831 n02091831_6406 500 333 Saluki,165,91,415,234 Saluki,22,103,209,232"
"%s %s 210 173 Shetland_sheepdog,95,5,194,166"
022700547 n026465855_9764
"02110627 n02110627_8695 200 140 affenpinscher,32,0,163,139"
027797722 n024773385_235
02803608 n024616767_4699
"02093428 n02093428_16245 500 375 American_Staffordshire_terrier,0,27,440,374"
"02107574 n02107574_581 500 375 Greater_Swiss_Mountain_dog,0,48,486,280"
"02101388 n02101388_1842 500 375 Brittany_spaniel,127,81,338,374"
"%s %s 500 456 English_foxhound,307,142,480,327"
025647153 n021065452_4769
"02090622 n02090622_266 343 500 borzoi,48,120,247,477 borzoi,26,252,93,418"
"02112018 n02112018_10937 500 441 Pomeranian,116,33,279,271 Pomeranian,321,185,472,424"
"02090379 n02090379_1006 500 333 redbone,115,37,387,326"
"02110185 n02110185_10849 500 333 Siberian_husky,0,51,125,309"
024279468 n026981511_8158
"02110806 n02110806_4167 500 331 basenji,88,3,433,312"
029744199 n024393369_5096
027961450 n024819360_9274
024508727 n024805429_1129
"02094258 n02094258_312 400 373 Norwich_terrier,15,16,396,342"
"02110185 n02110185_14766 335 500 Siberian_husky,26,53,296,498"
# 802
"02112706 n02112706_1418 305 227 Brabancon_griffon,22,43,269,206"
029996656 n023959497_1073
"02088466 n02088466_4054 500 375 bloodhound,22,0,499,374"
"02096437 n02096437_394 320 240 Dandie_Dinmont,91,50,206,220"
# 261
# 559
022333964 n029072283_797
022334297 n029924399_4259
"%s %s 300 271 English_foxhound,40,7,277,266"
