,ride_date
388,2017-08-28
389,2021-11-06
390,2017-04-08
391,2019-10-12
392,2017-04-24
393,2021-11-06
394,2021-11-06
395,2020-01-05
396,2018-01-13
397,2018-02-21
398,2019-01-29
399,2021-11-06
400,2017-11-24
401,2019-04-10
402,2017-01-17
403,2021-11-06
404,2018-07-21
405,2018-06-26
406,2019-08-03
407,2018-02-05
408,2019-07-24
409,2019-09-10
410,2021-11-06
411,2021-11-06
412,2018-06-13
413,2021-11-06
414,2018-07-16
415,2019-03-16
416,2017-05-11
417,2018-11-07
418,2017-05-26
419,2017-04-03
420,2017-12-29
421,2018-08-10
422,2018-07-31
423,2017-11-05
424,2018-01-25
425,2018-08-27
426,2021-11-06
427,2018-03-25
428,2018-02-18
429,2017-08-18
430,2018-08-20
431,2017-08-31
432,2017-06-02
433,2018-08-24
434,2018-10-29
435,2019-04-27
436,2019-08-08
437,2017-05-02
438,2018-06-17
439,2019-05-30
440,2018-04-22
441,2018-07-11
442,2019-12-23
443,2021-11-06
444,2017-01-29
445,2019-03-08
446,2018-09-08
447,2017-01-04
448,2019-01-07
449,2019-10-19
450,2021-11-06
451,2019-12-15
452,2020-01-25
453,2019-03-04
454,2018-11-23
455,2021-11-06
456,2018-04-08
457,2018-03-18
458,2020-02-06
459,2021-11-06
460,2021-11-06
461,2017-10-27
462,2019-06-17
463,2021-11-06
464,2017-01-13
465,2019-11-16
466,2020-01-08
467,2019-09-30
468,2017-12-27
469,2021-11-06
470,2021-11-06
471,2021-11-06
472,2019-11-21
473,2021-11-06
474,2019-08-26
475,2019-10-04
476,2017-11-09
477,2021-11-06
478,2017-09-27
479,2019-02-13
480,2017-09-13
481,2020-01-02
482,2020-01-01
483,2019-01-01
484,2017-05-07
485,2021-11-06
486,2017-06-01
487,2019-05-09
488,2017-02-23
489,2021-11-06
490,2017-09-04
491,2019-09-16
492,2019-04-23
493,2017-10-18
494,2017-08-08
495,2017-05-09
496,2018-03-09
497,2021-11-06
498,2021-11-06
499,2018-11-21
500,2018-12-08
501,2017-05-01
502,2018-07-15
503,2020-01-18
504,2019-07-22
505,2019-05-02
506,2017-01-20
507,2021-11-06
508,2020-01-14
509,2021-11-06
510,2017-02-21
511,2019-06-24
512,2019-12-03
513,2017-04-03
514,2018-06-24
515,2019-06-21
516,2017-01-21
517,2020-01-13
518,2017-01-21
519,2017-03-30
520,2018-04-14
521,2021-11-06
522,2021-11-06
523,2018-07-08
524,2017-08-28
525,2018-05-03
526,2019-01-20
527,2017-06-06
528,2021-11-06
529,2021-11-06
530,2021-11-06
531,2018-12-11
532,2019-04-11
533,2021-11-06
534,2017-05-24
535,2021-11-06
536,2019-02-19
537,2018-11-05
538,2021-11-06
539,2019-04-11
540,2017-09-10
541,2017-03-03
542,2017-07-14
543,2019-11-06
544,2019-08-19
545,2019-12-17
546,2017-07-30
547,2018-08-06
548,2017-03-29
549,2018-05-05
550,2021-11-06
551,2017-09-12
552,2017-03-04
553,2019-07-02
554,2021-11-06
555,2019-09-24
556,2018-10-24
557,2017-05-03
558,2019-03-15
559,2017-05-17
560,2018-07-19
561,2019-11-21
562,2018-11-13
563,2018-04-12
564,2021-11-06
565,2018-04-04
566,2018-02-02
567,2018-01-15
568,2019-02-10
569,2019-01-01
570,2019-08-02
571,2021-11-06
572,2017-09-10
573,2017-04-15
574,2021-11-06
575,2021-11-06
576,2018-04-23
577,2019-04-19
578,2018-05-19
579,2021-11-06
580,2017-07-13
581,2017-09-29
582,2021-11-06
583,2019-02-21
584,2018-11-11
585,2018-09-12
586,2020-02-02
587,2021-11-06
588,2019-08-10
589,2019-02-15
590,2018-05-12
591,2017-01-09
592,2021-11-06
593,2017-03-10
594,2021-11-06
595,2017-08-12
596,2019-03-12
597,2017-05-11
598,2017-09-04
599,2019-06-24
600,2021-11-06
601,2018-04-10
602,2018-11-29
603,2018-08-09
604,2019-09-10
605,2017-12-04
606,2021-11-06
607,2018-08-23
608,2017-02-28
609,2017-10-05
610,2018-07-30
611,2019-05-03
612,2021-11-06
613,2017-12-11
614,2021-11-06
615,2019-05-03
616,2017-12-21
617,2018-09-14
618,2017-03-05
619,2021-11-06
620,2017-06-24
621,2018-10-10
622,2017-01-09
623,2021-11-06
624,2021-11-06
625,2021-11-06
626,2019-01-02
627,2019-07-10
628,2021-11-06
629,2017-05-14
630,2019-06-22
631,2021-11-06
632,2017-10-30
633,2018-08-13
634,2021-11-06
635,2018-07-30
636,2017-08-07
637,2019-11-16
638,2018-05-23
639,2017-03-14
640,2019-03-22
641,2021-11-06
642,2017-10-16
643,2017-01-15
644,2018-04-11
645,2017-05-01
646,2017-10-17
647,2021-11-06
648,2019-08-05
649,2021-11-06
650,2019-05-09
651,2018-12-10
652,2017-01-03
653,2019-08-12
654,2021-11-06
655,2021-11-06
656,2019-03-18
657,2017-01-29
658,2018-11-29
659,2019-12-10
660,2019-01-24
661,2018-01-16
662,2021-11-06
663,2019-06-19
664,2019-05-11
665,2021-11-06
666,2018-06-01
667,2017-04-24
668,2018-07-25
669,2021-11-06
670,2020-01-21
671,2019-12-03
672,2021-11-06
673,2019-06-08
674,2020-01-09
675,2017-12-08
676,2018-02-21
677,2021-11-06
678,2018-04-15
679,2018-02-18
680,2019-08-13
681,2017-09-12
682,2017-09-29
683,2018-08-18
684,2018-06-20
685,2018-09-12
686,2019-11-19
687,2018-03-06
688,2017-07-30
689,2020-02-08
690,2017-06-08
691,2018-10-15
692,2017-06-20
693,2018-09-08
694,2021-11-06
695,2018-07-06
696,2018-11-24
697,2017-01-26
698,2018-01-09
699,2018-09-23
700,2018-05-24
701,2020-01-08
702,2019-05-06
703,2021-11-06
704,2018-05-16
705,2018-01-21
706,2021-11-06
707,2017-07-21
708,2018-10-11
709,2019-07-26
710,2018-03-08
711,2021-11-06
712,2017-10-14
713,2018-09-03
714,2018-07-03
715,2019-01-25
716,2018-11-28
717,2017-08-21
718,2021-11-06
719,2019-08-02
720,2021-11-06
721,2017-12-04
722,2018-07-08
723,2018-11-18
724,2019-08-28
725,2017-04-24
726,2019-11-20
727,2021-11-06
728,2018-06-16
729,2018-06-06
730,2018-12-21
731,2017-01-17
732,2021-11-06
733,2021-11-06
734,2021-11-06
735,2019-01-12
736,2021-11-06
737,2017-04-09
738,2019-02-02
739,2021-11-06
740,2017-04-08
741,2017-07-24
742,2019-06-12
743,2018-12-16
744,2019-12-06
745,2019-09-20
746,2021-11-06
747,2017-10-29
748,2021-11-06
749,2021-11-06
750,2018-08-09
751,2019-11-04
752,2018-01-02
753,2021-11-06
754,2019-11-06
755,2019-01-31
756,2018-01-16
757,2017-06-25
758,2018-05-10
759,2017-07-20
760,2018-04-10
761,2021-11-06
762,2021-11-06
763,2017-06-05
764,2017-08-26
765,2017-09-20
766,2019-06-05
767,2018-01-29
768,2019-09-08
769,2019-06-26
770,2018-01-13
771,2021-11-06
772,2017-08-28
773,2021-11-06
774,2019-10-21
775,2019-10-22
776,2018-05-11
777,2018-03-12
778,2017-10-26
779,2018-08-28
780,2018-12-02
781,2018-06-22
782,2019-07-27
783,2018-08-13
784,2021-11-06
785,2018-01-30
786,2017-05-08
787,2021-11-06
788,2019-03-27
789,2018-06-28
790,2018-05-27
791,2021-11-06
792,2017-11-07
793,2017-01-28
794,2019-08-11
795,2019-05-19
796,2019-09-18
797,2018-08-13
798,2018-05-05
799,2019-11-18
800,2018-11-12
801,2021-11-06
802,2019-02-26
803,2018-02-10
804,2017-05-15
805,2021-11-06
806,2019-08-12
807,2018-08-06
808,2017-02-18
809,2018-03-16
810,2019-04-04
811,2018-09-28
812,2021-11-06
813,2019-11-01
814,2021-11-06
815,2018-01-15
816,2018-02-10
817,2019-03-03
818,2018-01-14
819,2021-11-06
820,2017-11-21
821,2017-01-02
822,2021-11-06
823,2017-07-14
824,2017-09-09
825,2019-07-15
826,2021-11-06
827,2017-09-28
828,2017-12-14
829,2017-02-15
830,2018-08-23
831,2019-05-09
832,2018-04-30
833,2019-06-27
834,2021-11-06
835,2021-11-06
836,2021-11-06
837,2017-06-15
838,2021-11-06
839,2017-03-15
840,2017-11-30
841,2019-02-05
842,2018-10-01
843,2019-03-15
844,2018-09-18
845,2021-11-06
846,2019-09-30
847,2017-07-23
848,2021-11-06
849,2018-06-18
850,2017-01-23
851,2017-12-11
852,2019-09-20
853,2021-11-06
854,2021-11-06
855,2019-03-11
856,2017-04-30
857,2017-03-24
858,2019-02-06
859,2021-11-06
860,2021-11-06
861,2017-01-23
862,2021-11-06
863,2018-07-23
864,2017-07-08
865,2018-07-10
866,2019-06-18
867,2020-01-10
868,2021-11-06
869,2018-05-14
870,2019-12-07
871,2017-09-01
872,2021-11-06
873,2019-05-21
874,2020-01-04
875,2019-06-26
876,2017-05-01
877,2018-11-23
878,2019-04-14
879,2018-07-15
880,2017-12-22
881,2021-11-06
882,2019-04-30
883,2019-01-06
884,2017-11-21
885,2017-08-26
886,2020-01-04
887,2017-12-23
888,2019-05-03
889,2018-06-09
890,2017-08-29
891,2018-08-23
892,2021-11-06
893,2018-03-21
894,2017-08-17
895,2017-07-15
896,2017-10-25
897,2017-10-01
898,2017-04-05
899,2017-09-29
900,2018-04-17
901,2019-08-13
902,2019-09-24
903,2019-07-22
904,2019-08-23
905,2019-03-06
906,2017-05-14
907,2021-11-06
908,2019-06-19
909,2019-04-17
910,2017-08-12
911,2021-11-06
912,2021-11-06
913,2021-11-06
914,2017-05-07
915,2021-11-06
916,2017-12-28
917,2021-11-06
918,2018-01-22
919,2017-04-12
920,2018-01-12
921,2018-06-12
922,2018-06-07
923,2017-09-21
924,2019-08-13
925,2018-03-10
926,2017-05-11
927,2017-09-19
928,2018-09-02
929,2019-11-15
930,2018-09-28
931,2021-11-06
932,2020-01-06
933,2017-06-14
934,2021-11-06
935,2021-11-06
936,2018-07-15
937,2018-07-29
938,2017-04-26
939,2021-11-06
940,2018-10-16
941,2017-09-09
942,2021-11-06
943,2021-11-06
944,2018-09-12
945,2018-08-08
946,2017-06-15
947,2018-07-01
948,2017-03-07
949,2021-11-06
950,2019-09-17
951,2019-11-28
952,2017-11-17
953,2018-04-04
954,2019-05-01
955,2021-11-06
956,2017-07-13
957,2019-07-14
958,2017-07-07
959,2018-10-07
960,2021-11-06
961,2018-09-28
962,2019-11-16
963,2021-11-06
964,2019-04-06
965,2021-11-06
966,2017-05-12
967,2017-12-10
968,2018-01-06
969,2018-12-11
970,2019-11-05
971,2021-11-06
972,2017-12-18
973,2018-12-26
974,2021-11-06
975,2021-11-06
976,2017-03-27
977,2019-12-18
978,2018-04-02
979,2019-11-01
980,2017-11-17
981,2017-06-15
982,2021-11-06
983,2018-03-27
984,2021-11-06
985,2017-05-10
986,2021-11-06
987,2019-04-03
988,2018-08-03
989,2019-09-17
990,2019-02-18
991,2018-08-23
992,2018-09-21
993,2017-02-10
994,2021-11-06
995,2021-11-06
996,2019-08-20
997,2018-04-18
998,2019-09-24
999,2018-05-17
1000,2018-07-17
1001,2019-05-26
1002,2018-11-26
1003,2019-03-16
1004,2017-07-03
1005,2017-07-05
1006,2019-07-16
1007,2020-01-13
1008,2017-12-11
1009,2021-11-06
1010,2018-02-16
1011,2021-11-06
1012,2017-06-01
1013,2017-05-16
1014,2021-11-06
1015,2019-07-10
1016,2017-06-09
1017,2021-11-06
1018,2021-11-06
1019,2021-11-06
1020,2017-05-25
1021,2021-11-06
1022,2019-12-16
1023,2018-01-13
1024,2019-05-19
1025,2021-11-06
1026,2017-09-12
1027,2021-11-06
1028,2018-02-08
1029,2019-03-29
1030,2018-06-03
1031,2021-11-06
1032,2021-11-06
1033,2019-05-13
1034,2017-05-10
1035,2018-11-29
1036,2021-11-06
1037,2019-12-03
1038,2017-09-05
1039,2019-10-02
1040,2019-07-15
1041,2017-02-13
1042,2018-04-10
1043,2018-06-26
1044,2019-10-14
1045,2019-03-29
1046,2017-11-16
1047,2018-08-16
1048,2019-01-29
1049,2021-11-06
1050,2017-12-21
1051,2018-12-29
1052,2021-11-06
1053,2018-08-09
1054,2017-02-04
1055,2018-03-08
1056,2018-01-23
1057,2017-09-20
1058,2017-08-26
1059,2019-11-04
1060,2018-04-28
1061,2018-04-05
1062,2019-03-29
1063,2018-09-16
1064,2019-10-25
1065,2019-08-24
1066,2017-10-05
1067,2018-06-26
1068,2019-07-10
1069,2018-03-10
1070,2018-08-14
1071,2019-08-30
1072,2021-11-06
1073,2018-12-06
1074,2017-10-01
1075,2021-11-06
1076,2018-11-04
1077,2018-12-02
1078,2017-09-13
1079,2019-08-05
1080,2021-11-06
1081,2017-11-01
1082,2017-12-16
1083,2021-11-06
1084,2018-05-10
1085,2019-10-27
1086,2019-02-25
1087,2017-05-31
1088,2017-06-11
1089,2020-02-16
1090,2018-11-12
1091,2019-08-23
1092,2019-01-27
1093,2017-04-08
1094,2021-11-06
1095,2019-04-17
1096,2018-08-20
1097,2021-11-06
1098,2021-11-06
1099,2018-10-08
1100,2021-11-06
1101,2021-11-06
1102,2018-08-28
1103,2021-11-06
1104,2021-11-06
1105,2020-02-17
1106,2018-02-09
1107,2018-09-06
1108,2017-12-18
1109,2018-08-11
1110,2021-11-06
1111,2018-01-06
1112,2017-09-18
1113,2019-09-08
1114,2021-11-06
1115,2019-01-19
1116,2017-01-07
1117,2019-08-19
1118,2019-03-27
1119,2021-11-06
1120,2021-11-06
1121,2019-06-19
1122,2017-06-10
1123,2017-01-26
1124,2021-11-06
1125,2021-11-06
1126,2017-09-18
1127,2019-04-03
1128,2019-05-27
1129,2020-01-27
1130,2017-10-13
1131,2017-04-22
1132,2020-01-25
1133,2018-10-02
1134,2017-01-17
1135,2018-07-12
1136,2017-09-01
1137,2019-05-08
1138,2018-06-02
1139,2017-05-18
1140,2021-11-06
1141,2018-06-21
1142,2019-11-18
1143,2017-04-02
1144,2019-08-13
1145,2017-05-22
1146,2021-11-06
1147,2018-03-29
1148,2021-11-06
1149,2019-01-20
1150,2018-10-31
1151,2020-01-25
1152,2021-11-06
1153,2017-09-27
1154,2019-02-24
1155,2017-07-20
1156,2021-11-06
1157,2017-08-25
1158,2018-08-21
1159,2019-07-07
1160,2017-11-30
1161,2018-03-30
1162,2018-03-03
1163,2021-11-06
1164,2018-03-04
1165,2019-09-16
1166,2021-11-06
1167,2021-11-06
1168,2021-11-06
1169,2018-06-11
1170,2019-11-15
1171,2018-12-09
1172,2018-12-12
1173,2019-01-11
1174,2017-02-24
1175,2019-05-23
1176,2021-11-06
1177,2019-12-03
1178,2018-05-07
1179,2021-11-06
1180,2021-11-06
1181,2019-02-06
1182,2017-08-16
1183,2021-11-06
1184,2017-12-24
1185,2021-11-06
1186,2021-11-06
1187,2018-04-26
1188,2018-09-27
1189,2017-02-16
1190,2021-11-06
1191,2018-12-18
1192,2021-11-06
1193,2018-04-09
1194,2017-01-24
1195,2021-11-06
1196,2018-06-11
1197,2018-06-07
1198,2019-01-22
1199,2021-11-06
1200,2017-03-17
1201,2020-01-25
1202,2017-08-30
1203,2018-11-11
1204,2018-12-03
1205,2018-08-30
1206,2019-10-03
1207,2017-07-15
1208,2019-12-24
1209,2020-01-09
1210,2021-11-06
1211,2018-09-16
1212,2017-04-05
1213,2018-01-17
1214,2018-08-07
1215,2021-11-06
1216,2020-02-14
1217,2019-01-18
1218,2018-04-17
1219,2017-08-18
1220,2019-09-29
1221,2020-01-14
1222,2019-09-07
1223,2019-09-04
1224,2018-10-16
1225,2021-11-06
1226,2018-03-03
1227,2019-12-17
1228,2018-12-14
1229,2018-04-21
1230,2019-03-14
1231,2020-01-17
1232,2021-11-06
1233,2021-11-06
1234,2018-06-06
1235,2017-05-15
1236,2018-12-09
1237,2017-01-10
1238,2019-09-22
1239,2019-07-16
1240,2021-11-06
1241,2019-03-07
1242,2017-01-24
1243,2019-05-18
1244,2019-04-15
1245,2020-02-02
1246,2017-08-01
1247,2021-11-06
1248,2017-06-16
1249,2017-02-22
1250,2021-11-06
1251,2018-05-21
1252,2017-10-26
1253,2020-01-08
1254,2021-11-06
1255,2018-04-13
1256,2017-06-07
1257,2017-09-30
1258,2021-11-06
1259,2021-11-06
1260,2018-03-11
1261,2018-04-16
1262,2019-05-26
1263,2021-11-06
1264,2018-10-14
1265,2021-11-06
1266,2019-02-03
1267,2021-11-06
1268,2021-11-06
1269,2019-06-28
1270,2019-12-10
1271,2018-08-10
1272,2017-01-28
1273,2021-11-06
1274,2021-11-06
1275,2021-11-06
1276,2021-11-06
1277,2018-07-02
1278,2017-04-28
1279,2018-06-05
1280,2019-05-11
1281,2018-08-13
1282,2018-01-02
1283,2019-03-04
1284,2019-04-26
1285,2021-11-06
1286,2019-04-24
1287,2018-04-25
1288,2021-11-06
1289,2018-02-28
1290,2018-11-03
1291,2018-07-18
1292,2018-10-16
1293,2021-11-06
1294,2018-01-05
1295,2020-01-26
1296,2019-04-03
1297,2021-11-06
1298,2019-04-03
1299,2020-02-01
1300,2019-03-31
1301,2019-10-22
1302,2019-11-22
1303,2018-06-09
1304,2017-06-26
1305,2018-07-15
1306,2019-02-18
1307,2021-11-06
1308,2018-08-15
1309,2018-12-14
1310,2018-06-21
1311,2018-01-20
1312,2018-12-27
1313,2018-07-31
1314,2018-04-26
1315,2021-11-06
1316,2019-07-15
1317,2018-08-11
1318,2017-04-01
1319,2017-03-06
1320,2017-02-23
1321,2019-02-14
1322,2021-11-06
1323,2018-07-07
1324,2017-11-04
1325,2021-11-06
1326,2019-01-20
1327,2020-02-11
1328,2021-11-06
1329,2017-02-21
1330,2020-02-01
1331,2018-04-29
1332,2018-11-28
1333,2018-01-12
1334,2020-01-06
1335,2017-06-26
1336,2018-01-25
1337,2017-05-28
1338,2017-04-16
1339,2017-07-27
1340,2019-05-03
1341,2019-01-31
1342,2019-07-15
1343,2019-03-06
1344,2018-02-19
1345,2017-11-16
1346,2021-11-06
1347,2021-11-06
1348,2018-10-03
1349,2021-11-06
1350,2019-05-09
1351,2018-05-05
1352,2019-11-20
1353,2017-12-20
1354,2017-03-08
1355,2018-04-06
1356,2021-11-06
1357,2018-02-12
1358,2017-04-08
1359,2019-07-21
1360,2017-02-27
1361,2017-03-27
1362,2021-11-06
1363,2019-10-06
1364,2021-11-06
1365,2021-11-06
1366,2017-01-22
1367,2019-11-25
1368,2017-11-03
1369,2021-11-06
1370,2018-06-02
1371,2021-11-06
1372,2019-08-16
1373,2019-11-15
1374,2019-10-06
1375,2018-05-19
1376,2018-10-20
1377,2019-12-02
1378,2018-01-13
1379,2019-11-23
1380,2017-05-22
1381,2017-12-22
1382,2021-11-06
1383,2021-11-06
1384,2021-11-06
1385,2017-01-11
1386,2021-11-06
1387,2021-11-06
1388,2017-05-17
1389,2019-04-18
1390,2021-11-06
1391,2017-03-08
1392,2018-10-05
1393,2018-05-04
1394,2021-11-06
1395,2021-11-06
1396,2021-11-06
1397,2018-01-03
1398,2019-11-19
1399,2019-08-30
1400,2018-01-28
1401,2019-06-12
1402,2019-09-17
1403,2020-01-19
1404,2021-11-06
1405,2019-12-13
1406,2021-11-06
1407,2019-06-23
1408,2018-10-23
1409,2021-11-06
1410,2018-01-24
1411,2017-04-08
1412,2018-09-19
1413,2021-11-06
1414,2021-11-06
1415,2021-11-06
1416,2020-02-01
1417,2018-05-22
1418,2018-09-29
1419,2019-09-30
1420,2017-12-23
1421,2019-11-02
1422,2017-02-12
1423,2017-08-02
1424,2017-09-04
1425,2021-11-06
1426,2018-08-24
1427,2018-05-26
1428,2019-06-20
1429,2017-02-12
1430,2021-11-06
1431,2017-04-03
1432,2018-01-09
1433,2019-04-12
1434,2021-11-06
1435,2021-11-06
1436,2017-02-01
1437,2021-11-06
1438,2021-11-06
1439,2017-10-26
1440,2018-10-23
1441,2020-01-04
1442,2021-11-06
1443,2019-02-06
1444,2017-08-13
1445,2018-03-22
1446,2017-04-25
1447,2019-12-17
1448,2018-11-10
1449,2017-07-01
1450,2019-03-08
1451,2020-01-26
1452,2018-04-28
1453,2019-06-16
1454,2017-09-25
1455,2018-10-18
1456,2021-11-06
1457,2019-07-30
1458,2017-09-10
1459,2021-11-06
1460,2019-05-29
1461,2017-09-25
1462,2017-07-14
1463,2019-05-15
1464,2019-02-07
1465,2019-02-19
1466,2019-08-28
1467,2017-06-17
1468,2018-11-06
1469,2017-10-02
1470,2021-11-06
1471,2019-04-06
1472,2019-10-16
1473,2018-02-17
1474,2017-01-05
1475,2019-02-21
1476,2017-05-19
1477,2017-03-11
1478,2019-08-13
1479,2019-06-15
1480,2019-06-12
1481,2019-03-17
1482,2019-08-12
1483,2019-11-19
1484,2018-06-08
1485,2019-03-23
1486,2018-01-02
1487,2018-11-05
1488,2021-11-06
1489,2021-11-06
1490,2021-11-06
1491,2018-07-28
1492,2018-05-26
1493,2019-05-15
1494,2018-05-03
1495,2018-05-06
1496,2021-11-06
1497,2017-12-10
